corpus	local_name	bytes	sha256	source_url
ietf	minutes-100-pals.txt	8175	1abe60ee7b909a9d1d8cfb072e5107885d370d6e43b7cc116612597537487850	https://www.ietf.org/proceedings/100/minutes/minutes-100-pals-00.txt
ietf	minutes-100-panrg.txt	11265	99ef248d40be230dee291cd2ea0c81c529a7cf1c847eb7a463a7cfe2ff7319b7	https://www.ietf.org/proceedings/100/minutes/minutes-100-panrg-00.txt
ietf	minutes-100-pce.txt	6213	66ae6f873912fe63b6bb1d0a954ab064181f4db2d6bb05767543dbea35f8cf77	https://www.ietf.org/proceedings/100/minutes/minutes-100-pce-02.txt
ietf	minutes-100-perc.txt	814	b74a3d3c3a0a9dc5db84d1d371496e9e249b4cd0dd070be5ad42655b8076ef10	https://www.ietf.org/proceedings/100/minutes/minutes-100-perc-01.txt
ietf	minutes-100-pim.txt	2580	4e199e4e2f743c0b611fa19091c82f18bdb3e6203e022b544136e6515f3c4153	https://www.ietf.org/proceedings/100/minutes/minutes-100-pim-00.txt
ietf	minutes-100-regext.txt	7795	0fd859e6eabbdf8b54ffe1e9f83313f17ceff856211d44dfd73f821857e8869a	https://www.ietf.org/proceedings/100/minutes/minutes-100-regext-00.txt
ietf	minutes-100-rmcat.txt	5451	ead0617b250e11e37d7707692ecef37e412758c1baac3cf61245b7b46e2a0da4	https://www.ietf.org/proceedings/100/minutes/minutes-100-rmcat-00.txt
ietf	minutes-100-roll.txt	9238	872f7c0c1e2724fae80d01d0af473e5395088699146a7a59985a938f571c3069	https://www.ietf.org/proceedings/100/minutes/minutes-100-roll-00.txt
ietf	minutes-100-rtcweb.txt	1776	aff40f787b3896dab45f7cfaaebc554bc4fdc3e3646a9b5afea37b4a68637b42	https://www.ietf.org/proceedings/100/minutes/minutes-100-rtcweb-00.txt
ietf	minutes-100-rtgarea.txt	8844	0defb44bf98ba2345bc670336c5ce2ea4a3ffb6248207ad1a0ab45d266690474	https://www.ietf.org/proceedings/100/minutes/minutes-100-rtgarea-00.txt
ietf	minutes-100-rtgwg.txt	22632	3ee6cfda91ff75b6833225c90613a53ca9318d55fcdf83ccfb5e0d56405ba57b	https://www.ietf.org/proceedings/100/minutes/minutes-100-rtgwg-00.txt
ietf	minutes-100-saag.txt	7000	f28d7a9dc6e523c51ef0cbe77b6259f325a0d6b321c53ee7966444068b71d09c	https://www.ietf.org/proceedings/100/minutes/minutes-100-saag-00.txt
ietf	minutes-100-secevent.txt	9907	56d9d3bb9683efdf3930e40f90c44a7a539cd3e197fd3c68952e2c9a6c10217d	https://www.ietf.org/proceedings/100/minutes/minutes-100-secevent-00.txt
ietf	minutes-100-sfc.txt	21463	0a984a71a2c6d1616a16f061e0ce0381e9d78dfd2e778d781ffbc40c1f8e3dae	https://www.ietf.org/proceedings/100/minutes/minutes-100-sfc-00.txt
ietf	minutes-100-sipcore.txt	1068	975f72fbe0b40a81165dc38c17dd539ceae56632bc607f44566bf48fba117f04	https://www.ietf.org/proceedings/100/minutes/minutes-100-sipcore-00.txt
ietf	minutes-100-spring.txt	2706	40babbae7dae656dd3b94499df5e5d69018141b56a5e01eea51d8215113f6f26	https://www.ietf.org/proceedings/100/minutes/minutes-100-spring-00.txt
ietf	minutes-100-stir.txt	1227	598f0a2bffa6f8a8a46a68bfc325fc9c282120acb92afc291a195ab698577a3a	https://www.ietf.org/proceedings/100/minutes/minutes-100-stir-00.txt
ietf	minutes-100-suit.txt	8665	56a7669a284fd6852b36cea7a7b7f4f3714dfdde466cda97659bfada13c3d4e4	https://www.ietf.org/proceedings/100/minutes/minutes-100-suit-00.txt
ietf	minutes-100-t2trg.txt	8915	5c70a78151875648065fe52e805f910a35c14e3ab57732f2c0a29f81aa935ba0	https://www.ietf.org/proceedings/100/minutes/minutes-100-t2trg-01.txt
ietf	minutes-100-taps.txt	14754	31a8541d2d39fa3dcc7be63f87d4d02e52772e18b547a7e10b16a8ab52eddeb0	https://www.ietf.org/proceedings/100/minutes/minutes-100-taps-00.txt
ietf	minutes-100-tcpm.txt	11133	fd2d18e218a331332871cc831bd3fa0ba11200800914832c01f44beb2a6741c1	https://www.ietf.org/proceedings/100/minutes/minutes-100-tcpm-00.txt
ietf	minutes-100-teas.txt	21117	4bf62762925ad7acff06c2535ed78f2c91958962af38485cbd4def47e2753571	https://www.ietf.org/proceedings/100/minutes/minutes-100-teas-00.txt
ietf	minutes-100-tictoc.txt	9277	c69fe455804bd229918846a5e33e9a5d518738f60bad5a15ef0053d32f89c655	https://www.ietf.org/proceedings/100/minutes/minutes-100-tictoc-00.txt
ietf	minutes-100-tls.txt	2124	4fc93d0d26757181df07a550e88f1d698ccff0e5b405285d8cb64eccee458050	https://www.ietf.org/proceedings/100/minutes/minutes-100-tls-00.txt
ietf	minutes-100-tokbind.txt	5659	f35997de30d9c43c30e3eae8d922cc23ff7b3280afd7403dd192f3ce44f5dad0	https://www.ietf.org/proceedings/100/minutes/minutes-100-tokbind-00.txt
ietf	minutes-100-trans.txt	2303	02e47eb6c75fd61e237339727cc2baa4e9e48fdc58eaec30916961578eeaf514	https://www.ietf.org/proceedings/100/minutes/minutes-100-trans-00.txt
ietf	minutes-100-trill.txt	7436	60e40849666bb1aafc1f3c9feabb522e0039b4ecb16160d60a3bb92eea90f50d	https://www.ietf.org/proceedings/100/minutes/minutes-100-trill-00.txt
ietf	minutes-100-tsvwg.txt	12755	cbb1b985e71fde3cf5725caae5fccf26745eca24e23cad5181439ec03d333c78	https://www.ietf.org/proceedings/100/minutes/minutes-100-tsvwg-03.txt
ietf	minutes-100-uta.txt	3637	72fa3bf942245876200289f42a0e073362811d1362bd39ec2340ce62f2dc883a	https://www.ietf.org/proceedings/100/minutes/minutes-100-uta-00.txt
ietf	minutes-100-v6ops.txt	10110	1a166d7f8151718a52cdc0f1e319dce96a7a8ee44ee36e8b9ead84b0d7591a76	https://www.ietf.org/proceedings/100/minutes/minutes-100-v6ops-00.txt
ietf	minutes-101-6lo.txt	11316	efeb336603e47d8234b6194aab47f0a97828367ed09cb0b8f485d34d3af538c9	https://www.ietf.org/proceedings/101/minutes/minutes-101-6lo-00.txt
ietf	minutes-101-6man.txt	12784	54703ab3ad99d198121a618829566eafe99a2dfe6edb6b72913f52cb95095024	https://www.ietf.org/proceedings/101/minutes/minutes-101-6man-00.txt
ietf	minutes-101-6tisch.txt	18567	3b462f6adb6b8f53a5e35258048edf2adb55b04f4ec18e570069f2df297ca5b6	https://www.ietf.org/proceedings/101/minutes/minutes-101-6tisch-00.txt
ietf	minutes-101-ace.txt	13275	1af9b2ccbc35b6a58c966dcc81f485e2c1989071913e5d4679332a678e4c03d8	https://www.ietf.org/proceedings/101/minutes/minutes-101-ace-00.txt
ietf	minutes-101-alto.txt	10654	00694b61dc8be2b3ec73f2919cedea2a6cbf0afba94eaec02f79cc51d192ccef	https://www.ietf.org/proceedings/101/minutes/minutes-101-alto-00.txt
ietf	minutes-101-anima.txt	18097	726f7e7e4e013b75df69efdfa60b1901c79dfc89dbd66e3aec201fe5616e2ccc	https://www.ietf.org/proceedings/101/minutes/minutes-101-anima-01.txt
ietf	minutes-101-avtcore.txt	5450	91f8f6ced66107f92ff176f8d7981a9adc46e1938413ba581884a87966fc452c	https://www.ietf.org/proceedings/101/minutes/minutes-101-avtcore-00.txt
ietf	minutes-101-babel.txt	8235	ffcc2551c56f846d47e6bc83d38ff448e3ff155aa27d225e2b61fbf0b564c8ef	https://www.ietf.org/proceedings/101/minutes/minutes-101-babel-01.txt
ietf	minutes-101-bess.txt	16265	529ec5ab3ff43e94545b57ff0357c2e4acbae8846347b52b3c855ca3f3bbfde1	https://www.ietf.org/proceedings/101/minutes/minutes-101-bess-00.txt
ietf	minutes-101-bfd.txt	10506	13cce3c9cabc5bc6e08fe58e695649456a1135acd2dc0aa54777244f2ce4fa8b	https://www.ietf.org/proceedings/101/minutes/minutes-101-bfd-00.txt
ietf	minutes-101-bmwg.txt	9045	51b80a9b79c2b3835e084cc008f981a3ddf064bfbd4be931b50f7f6365178abd	https://www.ietf.org/proceedings/101/minutes/minutes-101-bmwg-00.txt
